timestamp,modulation,frequency,tx_node,rx_node,tx_gain,rx_gain,avg_sinr,avg_sinr_software,throughput,avg_ser,src_lat,src_lon,dest_lat,dest_lon,distance,jammer_distance,access_error_rate,channel_param_shape,channel_param_loc,channel_param_scale,delta_sinr,mission
20250629_155802,8QAM,2485,2,1,unknown,40,197,,99.31,0.0,27.517372131347656,-82.08147430419922,42.995494,-78.79702166666667,15,,,,,,,SwarmMissionIdle
20250629_155802,8QAM,2485,2,1,unknown,40,188,,109.56,0.0,27.517372131347656,-82.08147430419922,42.995494,-78.79702166666667,15,,,,,,,SwarmMissionIdle
20250629_155802,8QAM,2485,2,1,unknown,40,187,,109.56,0.0,27.517372131347656,-82.08147430419922,42.995494,-78.79702166666667,15,,,,,,,SwarmMissionIdle
20250629_155802,8QAM,2485,2,1,unknown,40,187,,109.56,0.0,27.517372131347656,-82.08147430419922,42.995494,-78.79702166666667,15,,,,,,,SwarmMissionIdle
20250629_155802,8QAM,2485,2,1,unknown,40,187,,109.56,0.0,27.517372131347656,-82.08147430419922,42.995494,-78.79702166666667,15,,,,,,,SwarmMissionIdle
20250629_155802,8QAM,2485,2,1,unknown,40,187,,109.56,0.0,27.517372131347656,-82.08147430419922,42.995494,-78.79702166666667,15,,,,,,,SwarmMissionIdle
20250629_155803,8QAM,2485,2,1,unknown,40,187,,109.56,0.0,27.517372131347656,-82.08147430419922,42.995494,-78.79702166666667,15,,,,,,,SwarmMissionIdle
20250629_155803,8QAM,2485,2,1,unknown,40,187,,109.56,0.0,27.517372131347656,-82.08147430419922,42.995494,-78.79702166666667,15,,,,,,,SwarmMissionIdle
20250629_155803,8QAM,2485,2,1,unknown,40,187,,109.56,0.0,27.517372131347656,-82.08147430419922,42.995494,-78.79702166666667,15,,,,,,,SwarmMissionIdle
20250629_155803,8QAM,2485,2,1,unknown,40,187,,10.11,0.0,27.517372131347656,-82.08147430419922,42.995494,-78.79702166666667,15,,,,,,,SwarmMissionIdle
20250629_155803,8QAM,2485,2,1,unknown,40,186,,10.11,0.0,27.517372131347656,-82.08147430419922,42.995494,-78.79702166666667,15,,,,,,,SwarmMissionIdle
20250629_155803,8QAM,2485,2,1,unknown,40,187,,10.11,0.0,27.517372131347656,-82.08147430419922,42.995494,-78.79702166666667,15,,,,,,,SwarmMissionIdle
20250629_155803,8QAM,2485,2,1,unknown,40,182,,10.11,0.0,27.517372131347656,-82.08147430419922,42.995494,-78.79702166666667,15,,,,,,,SwarmMissionIdle
20250629_155803,8QAM,2485,2,1,unknown,40,188,,10.11,0.0,27.517372131347656,-82.08147430419922,42.995494,-78.79702166666667,15,,,,,,,SwarmMissionIdle
20250629_155803,8QAM,2485,2,1,unknown,40,196,,110.83,0.0,27.517372131347656,-82.08147430419922,42.995494,-78.79702166666667,15,,,,,,,SwarmMissionIdle
20250629_155803,8QAM,2485,2,1,unknown,40,194,,110.83,0.0,27.517372131347656,-82.08147430419922,42.995494,-78.79702166666667,15,,,,,,,SwarmMissionIdle
20250629_155804,8QAM,2485,2,1,unknown,40,204,,110.83,0.0,27.517372131347656,-82.08147430419922,42.995494,-78.79702166666667,15,,,,,,,SwarmMissionIdle
20250629_155804,8QAM,2485,2,1,unknown,40,215,,110.83,0.0,27.517372131347656,-82.08147430419922,42.995494,-78.79702166666667,15,,,,,,,SwarmMissionIdle
20250629_155804,8QAM,2485,2,1,unknown,40,224,,110.83,0.0,27.517372131347656,-82.08147430419922,42.995494,-78.79702166666667,15,,,,,,,SwarmMissionIdle
20250629_155804,8QAM,2485,2,1,unknown,40,239,,85.05,0.0,27.517372131347656,-82.08147430419922,42.995494,-78.79702166666667,15,,,,,,,SwarmMissionIdle
20250629_155804,8QAM,2485,2,1,unknown,40,238,,85.05,0.0,27.517372131347656,-82.08147430419922,42.995494,-78.79702166666667,15,,,,,,,SwarmMissionIdle
20250629_155804,8QAM,2485,2,1,unknown,40,238,,85.05,0.0,27.517372131347656,-82.08147430419922,42.995494,-78.79702166666667,15,,,,,,,SwarmMissionIdle
20250629_155804,8QAM,2485,2,1,unknown,40,238,,85.05,0.0,27.517372131347656,-82.08147430419922,42.995494,-78.79702166666667,15,,,,,,,SwarmMissionIdle
20250629_155804,8QAM,2485,2,1,unknown,40,238,,85.05,0.0,27.517372131347656,-82.08147430419922,42.995494,-78.79702166666667,15,,,,,,,SwarmMissionIdle
20250629_155804,8QAM,2485,2,1,unknown,40,238,,85.05,0.0,27.517372131347656,-82.08147430419922,42.995494,-78.79702166666667,15,,,,,,,SwarmMissionIdle
20250629_155804,8QAM,2485,2,1,unknown,40,238,,85.05,0.0,27.517372131347656,-82.08147430419922,42.995494,-78.79702166666667,15,,,,,,,SwarmMissionIdle
20250629_155805,8QAM,2485,2,1,unknown,40,238,,85.05,0.0,27.517372131347656,-82.08147430419922,42.995494,-78.79702166666667,15,,,,,,,SwarmMissionIdle
20250629_155805,8QAM,2485,2,1,unknown,40,238,,85.05,0.0,27.517372131347656,-82.08147430419922,42.995494,-78.79702166666667,15,,,,,,,SwarmMissionIdle
20250629_155805,8QAM,2485,2,1,unknown,40,238,,26.27,0.0,27.517372131347656,-82.08147430419922,42.995494,-78.79702166666667,15,,,,,,,SwarmMissionIdle
20250629_155805,8QAM,2485,2,1,unknown,40,238,,26.27,0.0,27.517372131347656,-82.08147430419922,42.995495,-78.79701583333333,15,,,,,,,SwarmMissionIdle
20250629_155805,8QAM,2485,2,1,unknown,40,243,,26.27,0.0,27.517372131347656,-82.08147430419922,42.995495,-78.79701583333333,15,,,,,,,SwarmMissionIdle
20250629_155805,8QAM,2485,2,1,unknown,40,249,,26.27,0.0,27.517372131347656,-82.08147430419922,42.995495,-78.79701583333333,15,,,,,,,SwarmMissionIdle
20250629_155805,8QAM,2485,2,1,unknown,40,248,,26.27,0.0,27.517372131347656,-82.08147430419922,42.995495,-78.79701583333333,15,,,,,,,SwarmMissionIdle
20250629_155805,8QAM,2485,2,1,unknown,40,248,,116.76,0.0,27.517372131347656,-82.08147430419922,42.995495,-78.79701583333333,15,,,,,,,SwarmMissionIdle
20250629_155805,8QAM,2485,2,1,unknown,40,248,,116.76,0.0,27.517372131347656,-82.08147430419922,42.995495,-78.79701583333333,15,,,,,,,SwarmMissionIdle
20250629_155806,8QAM,2485,2,1,unknown,40,248,,116.76,0.0,27.517372131347656,-82.08147430419922,42.995495,-78.79701583333333,15,,,,,,,SwarmMissionIdle
20250629_155806,8QAM,2485,2,1,unknown,40,248,,116.76,0.0,27.517372131347656,-82.08147430419922,42.995495,-78.79701583333333,15,,,,,,,SwarmMissionIdle
20250629_155806,8QAM,2485,2,1,unknown,40,252,,116.76,0.0,27.517372131347656,-82.08147430419922,42.995495,-78.79701583333333,15,,,,,,,SwarmMissionIdle
20250629_155806,8QAM,2485,2,1,unknown,40,252,,116.76,0.0,27.517372131347656,-82.08147430419922,42.995495,-78.79701583333333,15,,,,,,,SwarmMissionIdle
20250629_155806,8QAM,2485,2,1,unknown,40,252,,116.76,0.0,27.517372131347656,-82.08147430419922,42.995495,-78.79701583333333,15,,,,,,,SwarmMissionIdle
20250629_155806,8QAM,2485,2,1,unknown,40,250,,80.2,0.0,27.517372131347656,-82.08147430419922,42.995495,-78.79701583333333,15,,,,,,,SwarmMissionIdle
20250629_155806,8QAM,2485,2,1,unknown,40,248,,80.2,0.0,27.517372131347656,-82.08147430419922,42.995495,-78.79701583333333,15,,,,,,,SwarmMissionIdle
20250629_155806,8QAM,2485,2,1,unknown,40,248,,80.2,0.0,27.517372131347656,-82.08147430419922,42.995495,-78.79701583333333,15,,,,,,,SwarmMissionIdle
20250629_155806,8QAM,2485,2,1,unknown,40,248,,80.2,0.0,27.517372131347656,-82.08147430419922,42.995495,-78.79701583333333,15,,,,,,,SwarmMissionIdle
20250629_155806,8QAM,2485,2,1,unknown,40,248,,80.2,0.0,27.517372131347656,-82.08147430419922,42.995495,-78.79701583333333,15,,,,,,,SwarmMissionIdle
20250629_155807,8QAM,2485,2,1,unknown,40,250,,60.79,0.0,27.517372131347656,-82.08147430419922,42.995495,-78.79701583333333,15,,,,,,,SwarmMissionIdle
20250629_155807,8QAM,2485,2,1,unknown,40,249,,60.79,0.0,27.517372131347656,-82.08147430419922,42.995495,-78.79701583333333,15,,,,,,,SwarmMissionIdle
20250629_155807,8QAM,2485,2,1,unknown,40,249,,60.79,0.0,27.517372131347656,-82.08147430419922,42.995495,-78.79701583333333,15,,,,,,,SwarmMissionIdle
20250629_155807,8QAM,2485,2,1,unknown,40,249,,60.79,0.0,27.517372131347656,-82.08147430419922,42.995495,-78.79701583333333,15,,,,,,,SwarmMissionIdle
20250629_155807,8QAM,2485,2,1,unknown,40,247,,107.41,0.0,27.517372131347656,-82.08147430419922,42.995495,-78.79701583333333,15,,,,,,,SwarmMissionIdle
20250629_155807,8QAM,2485,2,1,unknown,40,243,,107.41,0.0,27.517372131347656,-82.08147430419922,42.995495,-78.79701583333333,15,,,,,,,SwarmMissionIdle
20250629_155807,8QAM,2485,2,1,unknown,40,243,,107.41,0.0,27.517372131347656,-82.08147430419922,42.995495,-78.79701583333333,15,,,,,,,SwarmMissionIdle
20250629_155807,8QAM,2485,2,1,unknown,40,243,,107.41,0.0,27.517372131347656,-82.08147430419922,42.995495,-78.79701583333333,15,,,,,,,SwarmMissionIdle
20250629_155807,8QAM,2485,2,1,unknown,40,246,,107.41,0.0,27.517372131347656,-82.08147430419922,42.995495,-78.79701583333333,15,,,,,,,SwarmMissionIdle
20250629_155807,8QAM,2485,2,1,unknown,40,244,,94.33,0.0,27.517372131347656,-82.08147430419922,42.995495,-78.79701583333333,15,,,,,,,SwarmMissionIdle
20250629_155808,8QAM,2485,2,1,unknown,40,244,,94.33,0.0,27.517372131347656,-82.08147430419922,42.995495,-78.79701583333333,15,,,,,,,SwarmMissionIdle
20250629_155808,8QAM,2485,2,1,unknown,40,244,,94.33,0.0,27.517372131347656,-82.08147430419922,42.995495,-78.79701583333333,15,,,,,,,SwarmMissionIdle
20250629_155808,8QAM,2485,2,1,unknown,40,241,,94.33,0.0,27.517372131347656,-82.08147430419922,42.995495,-78.79701583333333,15,,,,,,,SwarmMissionIdle
20250629_155808,8QAM,2485,2,1,unknown,40,239,,94.33,0.0,27.517372131347656,-82.08147430419922,42.995495,-78.79701583333333,15,,,,,,,SwarmMissionIdle
20250629_155808,8QAM,2485,2,1,unknown,40,239,,94.33,0.0,27.517372131347656,-82.08147430419922,42.995495,-78.79701583333333,15,,,,,,,SwarmMissionIdle
20250629_155808,8QAM,2485,2,1,unknown,40,239,,77.37,0.0,27.517372131347656,-82.08147430419922,42.995495,-78.79701583333333,15,,,,,,,SwarmMissionIdle
20250629_155808,8QAM,2485,2,1,unknown,40,238,,77.37,0.0,27.517372131347656,-82.08147430419922,42.995495,-78.79701583333333,15,,,,,,,SwarmMissionIdle
20250629_155808,8QAM,2485,2,1,unknown,40,241,,77.37,0.0,27.517372131347656,-82.08147430419922,42.995495,-78.79701583333333,15,,,,,,,SwarmMissionIdle
20250629_155808,8QAM,2485,2,1,unknown,40,241,,77.37,0.0,27.517372131347656,-82.08147430419922,42.995495,-78.79701583333333,15,,,,,,,SwarmMissionIdle
20250629_155808,8QAM,2485,2,1,unknown,40,245,,77.37,0.0,27.517372131347656,-82.08147430419922,42.995495,-78.79701583333333,15,,,,,,,SwarmMissionIdle
20250629_155809,8QAM,2485,2,1,unknown,40,243,,111.57,0.0,27.517372131347656,-82.08147430419922,42.995495,-78.79701583333333,15,,,,,,,SwarmMissionIdle
20250629_155809,8QAM,2485,2,1,unknown,40,239,,111.57,0.0,27.517372131347656,-82.08147430419922,42.995495,-78.79701583333333,15,,,,,,,SwarmMissionIdle
20250629_155809,8QAM,2485,2,1,unknown,40,237,,111.57,0.0,27.517372131347656,-82.08147430419922,42.995495,-78.79701583333333,15,,,,,,,SwarmMissionIdle
