timestamp,modulation,frequency,tx_node,rx_node,tx_gain,rx_gain,avg_sinr,avg_sinr_software,throughput,avg_ser,src_lat,src_lon,dest_lat,dest_lon,distance,jammer_distance,access_error_rate,channel_param_shape,channel_param_loc,channel_param_scale,delta_sinr,mission
20250704_123249,4QAM,2485,2,1,unknown,45,245,,161.39,0.42078488372093026,27.517372131347656,-82.08147430419922,42.99522110821308,-78.79624850025873,15,,,,,,,SwarmMissionIdle
20250704_123249,4QAM,2485,2,1,unknown,45,245,,161.39,0.4208108388704319,27.517372131347656,-82.08147430419922,42.99522110821308,-78.79624850025873,15,,,,,,,SwarmMissionIdle
20250704_123249,4QAM,2485,2,1,unknown,45,248,,161.39,0.4209795473421927,27.517372131347656,-82.08147430419922,42.99522110821308,-78.79624850025873,15,,,,,,,SwarmMissionIdle
20250704_123249,4QAM,2485,2,1,unknown,45,248,,120.44,0.4212390988372093,27.517372131347656,-82.08147430419922,42.99522110821308,-78.79624850025873,15,,,,,,,SwarmMissionIdle
20250704_123249,4QAM,2485,2,1,unknown,45,248,,120.44,0.4213039867109635,27.517372131347656,-82.08147430419922,42.99522110821308,-78.79624850025873,15,,,,,,,SwarmMissionIdle
20250704_123249,4QAM,2485,2,1,unknown,45,255,,120.44,0.4212780315614618,27.517372131347656,-82.08147430419922,42.99522110821308,-78.79624850025873,15,,,,,,,SwarmMissionIdle
20250704_123249,4QAM,2485,2,1,unknown,45,255,,120.44,0.4235750622923588,27.517372131347656,-82.08147430419922,42.99522110821308,-78.79624850025873,15,,,,,,,SwarmMissionIdle
20250704_123249,4QAM,2485,2,1,unknown,45,250,,120.44,0.4251453488372093,27.517372131347656,-82.08147430419922,42.99522110821308,-78.79624850025873,15,,,,,,,SwarmMissionIdle
20250704_123249,4QAM,2485,2,1,unknown,45,250,,139.55,0.4260927117940199,27.517372131347656,-82.08147430419922,42.99522110821308,-78.79624850025873,15,,,,,,,SwarmMissionIdle
20250704_123249,4QAM,2485,2,1,unknown,45,250,,139.55,0.4275721553156146,27.517372131347656,-82.08147430419922,42.99522110821308,-78.79624850025873,15,,,,,,,SwarmMissionIdle
20250704_123250,4QAM,2485,2,1,unknown,45,250,,139.55,0.42992109634551495,27.517372131347656,-82.08147430419922,42.99522110821308,-78.79624850025873,15,,,,,,,SwarmMissionIdle
20250704_123250,4QAM,2485,2,1,unknown,45,248,,139.55,0.42945390365448505,27.517372131347656,-82.08147430419922,42.99522110821308,-78.79624850025873,15,,,,,,,SwarmMissionIdle
20250704_123250,4QAM,2485,2,1,unknown,45,244,,139.55,0.429077553986711,27.517372131347656,-82.08147430419922,42.99522110821308,-78.79624850025873,15,,,,,,,SwarmMissionIdle
20250704_123250,4QAM,2485,2,1,unknown,45,249,,153.31,0.4278317068106312,27.517372131347656,-82.08147430419922,42.99522110821308,-78.79624850025873,15,,,,,,,SwarmMissionIdle
20250704_123250,4QAM,2485,2,1,unknown,45,247,,153.31,0.4273515365448505,27.517372131347656,-82.08147430419922,42.99522110821308,-78.79624850025873,15,,,,,,,SwarmMissionIdle
20250704_123250,4QAM,2485,2,1,unknown,45,247,,153.31,0.42842867524916944,27.517372131347656,-82.08147430419922,42.99522110821308,-78.79624850025873,15,,,,,,,SwarmMissionIdle
20250704_123250,4QAM,2485,2,1,unknown,45,248,,153.31,0.4283637873754153,27.517372131347656,-82.08147430419922,42.99522110821308,-78.79624850025873,15,,,,,,,SwarmMissionIdle
